"","confirmation_code","Gender","SES","X1.111","X1.112","Al.IW2.1"
"1088",59723082,2,8,NA,NA,NA
"1089",53336269,2,4,NA,NA,NA
"1093",97186686,2,7,NA,NA,NA
"1094",63928392,2,5,NA,NA,NA
"1098",66116498,1,9,NA,NA,NA
"1101",41065828,1,7,NA,1,2
"1103",34767813,1,3,NA,NA,NA
"1106",84331479,2,5,NA,NA,NA
"1111",14438759,1,9,NA,NA,NA
"1113",78022952,2,5,NA,NA,NA
"1115",64857280,2,5,NA,NA,NA
"1116",51149207,2,5,NA,NA,NA
"1117",27063548,2,5,NA,NA,NA
"1119",97751585,2,8,NA,NA,NA
"1123",42143236,1,4,NA,NA,NA
"1126",12032593,1,5,NA,NA,NA
"1127",20891755,2,7,NA,NA,NA
"1128",53382574,1,6,NA,NA,NA
"1129",99799172,1,6,NA,NA,NA
"1132",79978958,2,4,NA,NA,NA
"1133",88706262,1,8,NA,NA,NA
"1138",16508827,1,10,NA,NA,NA
"1139",35534245,1,8,NA,NA,NA
"1140",82455446,1,7,NA,NA,NA
"1142",19413435,2,7,NA,1,1
"1143",14435995,2,8,NA,NA,NA
"1144",18487341,1,4,NA,NA,NA
"1145",83575404,1,7,NA,NA,NA
"1146",44658150,2,6,NA,NA,NA
"1150",55770812,1,7,NA,NA,NA
"1155",80683955,1,4,NA,NA,NA
"1156",59867621,2,4,NA,NA,NA
"1159",51808492,1,5,NA,NA,NA
"1160",58596352,2,7,NA,NA,NA
"1162",84349601,2,5,NA,NA,NA
"1163",16690114,1,8,NA,NA,NA
"1165",29359095,2,2,NA,NA,NA
"1166",45126760,2,7,NA,NA,NA
"1167",86923707,2,5,NA,NA,NA
"1168",65851208,1,5,NA,NA,NA
"1169",98209702,1,8,NA,NA,NA
"1172",14002001,2,7,NA,NA,NA
"1173",71357686,2,6,NA,NA,NA
"1174",46357252,1,4,NA,NA,NA
"1176",35130358,2,8,NA,NA,NA
"1177",62453190,2,9,NA,NA,NA
"1178",82566003,2,6,NA,NA,NA
"1179",25210996,1,8,NA,NA,NA
"1180",76580910,2,7,NA,NA,NA
"1182",80181917,1,6,NA,NA,NA
"1183",55168977,2,7,NA,NA,NA
"1184",40939082,1,6,NA,NA,NA
"1185",10638608,1,9,NA,NA,NA
"1187",47275484,2,5,NA,NA,NA
"1189",88444644,2,5,NA,NA,NA
"1190",79878265,1,6,NA,NA,NA
"1191",73274748,2,7,NA,NA,NA
